Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm
1,2.02422587,0.72844,1.63056276,0.5961,1.34565866
2,1.87570387,0.64738,1.51473654,0.5395,1.37446189
3,1.81045849,0.61074,1.41884525,0.4979,1.39466226
4,1.76618756,0.58884,1.40860458,0.4982,1.40967202
5,1.72577127,0.568,1.29699386,0.4433,1.42408442
6,1.69029842,0.54784,1.25788228,0.4275,1.43690526
7,1.66172848,0.5351,1.20935822,0.3981,1.44906366
8,1.63598422,0.52206,1.20195195,0.3911,1.46505117
9,1.61437828,0.51226,1.18153461,0.3867,1.47311866
10,1.59125764,0.50046,1.18340681,0.3936,1.4833436
11,1.57360808,0.49104,1.1316317,0.3647,1.49321461
12,1.55439861,0.48194,1.10819426,0.3558,1.50399995
13,1.54017381,0.47352,1.06578021,0.3395,1.51725841
14,1.5265923,0.46838,1.07196392,0.3425,1.51916695
15,1.51181295,0.46306,1.05810399,0.3362,1.533934
16,1.49686723,0.45494,1.02780946,0.3284,1.54806089
17,1.48433702,0.44962,1.03620443,0.3279,1.55928421
18,1.47121006,0.44368,1.01586307,0.3198,1.57128811
19,1.45802206,0.4383,0.992459787,0.32,1.5856508
20,1.44639888,0.43162,0.994479905,0.3074,1.60094798
21,1.43623578,0.4271,0.965837005,0.2996,1.61100292
22,1.42478528,0.42122,0.966231343,0.2949,1.62303686
23,1.41447877,0.4171,0.940232691,0.2912,1.6450063
24,1.40621598,0.414,0.946594712,0.2803,1.65246511
25,1.39705818,0.407,0.92454779,0.2867,1.6682862
26,1.38986626,0.40576,0.944470519,0.2812,1.68398046
27,1.37832021,0.4024,0.908094953,0.2694,1.70234799
28,1.37242272,0.39814,0.896082586,0.2719,1.71309674
29,1.35867925,0.39452,0.884833367,0.2711,1.74212098
30,1.35605023,0.39278,0.882826895,0.2643,1.75656903
31,1.34913455,0.3872,0.864515848,0.2672,1.76944542
32,1.33875372,0.38494,0.868181835,0.2529,1.79095578
33,1.33492609,0.3845,0.845254179,0.2505,1.81073093
34,1.32322214,0.37812,0.846332439,0.2543,1.83770919
35,1.32248357,0.37906,0.848470033,0.2508,1.86049366
36,1.3131041,0.374,0.849976657,0.2514,1.8851397
37,1.3050161,0.3706,0.861968095,0.2513,1.90801072
38,1.30044237,0.372,0.860865141,0.2487,1.93245482
39,1.29411301,0.36664,0.82928317,0.244,1.95752549
40,1.28934605,0.36632,0.844408884,0.2503,1.97684085
41,1.28448388,0.36442,0.806736813,0.2336,2.0031662
42,1.27848182,0.36112,0.840473509,0.245,2.02958488
43,1.272628,0.35672,0.822350277,0.2388,2.06119108
44,1.26804187,0.35696,0.796700206,0.2384,2.08762813
45,1.26487611,0.35588,0.800323261,0.2354,2.11492205
46,1.25755605,0.3536,0.816592783,0.229,2.13661981
47,1.25166485,0.35,0.793780218,0.2313,2.17001629
48,1.24752235,0.35024,0.75560704,0.223,2.20117712
49,1.24258796,0.34842,0.795406666,0.2261,2.22906232
50,1.23989149,0.34646,0.800001652,0.232,2.26178503
51,1.23272401,0.34452,0.779561929,0.2278,2.29504895
52,1.22622206,0.34396,0.790024496,0.2232,2.33865571
53,1.22340418,0.34134,0.801745641,0.2279,2.37243724
54,1.22081081,0.34228,0.786948583,0.2257,2.39907718
55,1.21561229,0.34176,0.787418872,0.2217,2.43787837
56,1.21186695,0.33952,0.760021674,0.2178,2.4747622
57,1.2110285,0.33658,0.791154202,0.2322,2.5043571
58,1.20395774,0.33488,0.754426721,0.2198,2.5453074
59,1.20071319,0.33384,0.766870756,0.2203,2.57364511
60,1.19913041,0.33352,0.77763878,0.2265,2.61663675
61,1.19265507,0.33172,0.765564216,0.2181,2.65564656
62,1.18868097,0.32844,0.758185988,0.2206,2.6925168
63,1.18656475,0.32942,0.774330829,0.2212,2.73445797
64,1.18186058,0.32924,0.765923839,0.2244,2.7753191
65,1.17835067,0.3274,0.762820619,0.2199,2.81513381
66,1.17619936,0.3252,0.786101652,0.2227,2.86439514
67,1.16874349,0.3261,0.758386152,0.2185,2.91406631
68,1.16920328,0.32572,0.760332842,0.2184,2.94593954
69,1.16417944,0.3228,0.747570634,0.2176,2.99043751
70,1.15709965,0.32164,0.758216307,0.2172,3.04730034
71,1.15643719,0.32204,0.757418451,0.2184,3.08554363
72,1.1526076,0.31956,0.773221747,0.2193,3.13775063
73,1.14609614,0.31894,0.782465934,0.2265,3.19440389
74,1.14732506,0.31976,0.783265713,0.2226,3.24286556
75,1.1451342,0.31862,0.761147045,0.2177,3.29551148
76,1.13995931,0.3163,0.773529235,0.2201,3.33960581
77,1.13637591,0.3156,0.781125618,0.2189,3.38038588
78,1.1318744,0.31486,0.773538642,0.228,3.44019938
79,1.12562217,0.3136,0.744417348,0.2174,3.50588512
80,1.12350537,0.31186,0.785649118,0.2253,3.55870438
81,1.12109928,0.3122,0.761485332,0.2137,3.62672949
82,1.11958759,0.3128,0.772408515,0.2186,3.67844772
83,1.11593317,0.3102,0.768272523,0.2128,3.7393024
84,1.11289973,0.30824,0.748702432,0.2154,3.80093241
85,1.10730053,0.30948,0.76070918,0.2141,3.86506462
86,1.10342484,0.3097,0.795866553,0.2287,3.93571138
87,1.10191967,0.30764,0.784442411,0.2173,4.00353718
88,1.09686103,0.30682,0.764745417,0.2206,4.07718849
89,1.0956611,0.3052,0.763240432,0.2162,4.13365555
90,1.09067563,0.30628,0.749816939,0.2158,4.2004385
91,1.09152731,0.30426,0.75225444,0.2172,4.27159786
92,1.08624404,0.30272,0.748830566,0.2112,4.33598995
93,1.08508479,0.30374,0.781570138,0.218,4.40524673
94,1.08050969,0.3027,0.762584739,0.2173,4.48662329
95,1.07974014,0.30434,0.758612788,0.22,4.53852558
96,1.07454841,0.30232,0.760965073,0.2156,4.61500072
97,1.07004616,0.30086,0.744429283,0.2146,4.69220734
98,1.07088994,0.29952,0.750801928,0.2196,4.76023483
99,1.06784797,0.29968,0.767883933,0.2221,4.8288765
100,1.06366866,0.29726,0.751769334,0.2192,4.93630981
101,1.0600928,0.29794,0.775779818,0.2154,5.0002327
102,1.06051073,0.29826,0.797347917,0.2261,5.06357193
103,1.05575312,0.29664,0.770460344,0.2128,5.15338135
104,1.04889516,0.29502,0.781541823,0.2235,5.24706841
105,1.04970622,0.29732,0.753073532,0.2214,5.33021784
106,1.04670627,0.2944,0.780618718,0.2205,5.41329193
107,1.04191547,0.29362,0.769324304,0.2219,5.51592112
108,1.03476663,0.29362,0.769067399,0.2231,5.61718988
109,1.03404456,0.29248,0.763884487,0.2169,5.71234179
110,1.03545459,0.292,0.787393803,0.2288,5.79020405
111,1.03370175,0.29252,0.794310478,0.2269,5.87799168
112,1.02798466,0.28958,0.737789385,0.2169,5.99244118
113,1.02492807,0.29114,0.793736498,0.2239,6.08396482
114,1.02570497,0.29264,0.791019531,0.2252,6.1783843
115,1.01841822,0.29006,0.795077915,0.2253,6.27689266
116,1.01980647,0.29052,0.805200604,0.2323,6.39700556
117,1.01580657,0.28812,0.787868679,0.2257,6.48417664
118,1.013331,0.28718,0.803838137,0.2319,6.58181763
119,1.00964401,0.28726,0.768176973,0.2199,6.68443203
120,1.01101213,0.28922,0.789510474,0.2287,6.76398325
121,1.00553996,0.28656,0.791650673,0.2321,6.86199522
122,1.00495135,0.2872,0.782599864,0.2323,6.96364212
123,0.999272998,0.28754,0.780700506,0.2278,7.08373833
124,0.994008852,0.28492,0.781874307,0.2267,7.19781685
125,0.990938684,0.28356,0.802470242,0.2305,7.32825089
126,0.993626984,0.28338,0.783616229,0.2354,7.42061329
127,0.990135115,0.28308,0.751451666,0.2203,7.5172925
128,0.992080336,0.28488,0.790723881,0.2224,7.61125374
129,0.98712956,0.2839,0.753789047,0.2182,7.72885323
130,0.980450386,0.28276,0.800919784,0.2269,7.84434891
131,0.979644534,0.28006,0.781003081,0.2235,7.95894814
132,0.973988498,0.28052,0.75485901,0.22,8.11539268
133,0.972175541,0.27966,0.850029991,0.2422,8.21766281
134,0.970627346,0.27962,0.817440403,0.236,8.34225464
135,0.971496314,0.2798,0.805700245,0.2292,8.44696999
136,0.968012299,0.27782,0.803609166,0.2314,8.56334496
137,0.962874768,0.27886,0.775092739,0.2226,8.69297981
138,0.962517195,0.27944,0.815067182,0.2377,8.80945778
139,0.95822382,0.27752,0.796749248,0.2298,8.93211555
140,0.953811474,0.27646,0.774364988,0.2271,9.06874466
141,0.956072905,0.27888,0.80680746,0.2323,9.20011234
142,0.950024637,0.27674,0.817679371,0.234,9.32837296
143,0.947629114,0.2749,0.766965357,0.2225,9.47304726
144,0.949213773,0.27496,0.818953627,0.2355,9.54998398
145,0.947438405,0.27638,0.824331037,0.2368,9.67447472
146,0.942454281,0.27466,0.807916561,0.2401,9.81049252
147,0.938440858,0.27366,0.810384283,0.2311,9.96440411
148,0.933477894,0.2719,0.821139355,0.2368,10.0978765
149,0.93194037,0.27196,0.847290153,0.2468,10.2547779
150,0.931847233,0.27258,0.821283585,0.2324,10.3560858
151,0.929578431,0.27122,0.846293917,0.2499,10.5076771
152,0.927588411,0.27416,0.796572201,0.2349,10.6458683
153,0.921692853,0.2693,0.799767936,0.2287,10.8044395
154,0.922599307,0.26954,0.799783233,0.2324,10.9557419
155,0.922323825,0.27068,0.826587687,0.241,11.0929432
156,0.916813988,0.27062,0.820618969,0.2385,11.2405109
157,0.913797688,0.26914,0.84582948,0.2477,11.3999691
158,0.913905561,0.27006,0.810763817,0.2377,11.5051565
159,0.91412868,0.2685,0.81154261,0.2392,11.6217613
160,0.909608228,0.26734,0.861753246,0.2522,11.7607098
161,0.906034324,0.2663,0.818929921,0.2391,11.9514532
162,0.907400081,0.26798,0.823478737,0.2371,12.098937
163,0.896686242,0.2655,0.838168761,0.2436,12.2940159
164,0.905140053,0.26674,0.849638306,0.2479,12.3849573
165,0.897723394,0.26488,0.82910102,0.246,12.5463343
166,0.897653026,0.26474,0.852338859,0.2459,12.6763639
167,0.893887962,0.26528,0.811443699,0.2401,12.835948
168,0.891937451,0.2656,0.824360035,0.2429,12.9996586
169,0.888158055,0.26564,0.859268343,0.2557,13.1522188
170,0.88721134,0.2629,0.832884082,0.2444,13.3092651
171,0.888819068,0.26514,0.832250606,0.2436,13.4188013
172,0.884387367,0.2635,0.842647159,0.2464,13.5696583
173,0.883847869,0.2626,0.851303656,0.2474,13.688118
174,0.88143495,0.26344,0.855443999,0.2484,13.8359613
175,0.880629896,0.26352,0.820115388,0.2421,13.988143
176,0.875671676,0.25968,0.816278228,0.2382,14.1653166
177,0.874620523,0.26048,0.849307607,0.2504,14.3101931
178,0.873179475,0.25972,0.811237702,0.2392,14.4854927
179,0.867106757,0.26136,0.820464646,0.2395,14.6544209
180,0.863286127,0.25882,0.838218878,0.2421,14.8446379
181,0.865606501,0.25788,0.843609486,0.2417,14.9655027
