Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm,Exact Path Norm
1,2.30139323,0.8747,2.24500449,0.8437,133.337296,11.1310762
2,2.24535414,0.8434,2.17546199,0.8187,137.84903,10.0165158
3,2.21105962,0.83288,2.1287681,0.8077,135.627075,17.4153999
4,2.18611067,0.81738,2.08729842,0.7906,125.097649,9.17775605
5,2.16559695,0.80836,2.05301521,0.7732,114.305977,10.4020258
6,2.14762241,0.7989,2.0266613,0.762,99.8922348,6.78027734
7,2.13683481,0.79304,2.01204342,0.7526,86.5242081,1.90014203
8,2.12837911,0.7866,2.00235255,0.7511,76.7799377,-4.04758783
9,2.12272719,0.783,1.99299958,0.7502,67.9871292,10.6938265
10,2.11894171,0.78476,1.98670197,0.7467,63.6484756,12.098049
11,2.11524309,0.78176,1.97846695,0.7499,62.4852219,7.05689025
12,2.11280342,0.78142,1.97357455,0.7475,57.7185745,-3.01715797
13,2.10979664,0.77902,1.964793,0.741,52.6451111,20.0138408
14,2.10810519,0.78116,1.96347022,0.7426,51.0516319,14.3132249
15,2.10231643,0.77622,1.96003191,0.7422,49.7996063,9.69835719
16,2.10006874,0.77816,1.95349119,0.7387,47.290638,14.9729376
17,2.09733297,0.7748,1.95091269,0.7359,45.0588226,1.13109075
18,2.09420443,0.7722,1.94655342,0.7294,43.9519386,3.03718537
19,2.09247198,0.77444,1.93896881,0.7283,41.0577164,14.9193266
20,2.08604687,0.7673,1.93086454,0.7209,41.2603416,21.0820666
21,2.08459563,0.76664,1.92509111,0.7162,42.0655212,6.270744
22,2.08035398,0.7638,1.91323729,0.7165,39.7599258,-1.4088944
23,2.0773723,0.76024,1.90840912,0.7124,40.6172676,13.5347399
24,2.07090968,0.75968,1.9019663,0.7084,38.9430542,20.9769843
25,2.0656711,0.75642,1.89533994,0.7054,39.7184448,17.8719041
26,2.06252818,0.75384,1.88418409,0.703,39.0276146,38.7695777
27,2.05655824,0.75134,1.88293855,0.7037,39.7621498,2.2340154
28,2.05302238,0.7491,1.86953923,0.6941,39.5106812,4.91976527
29,2.04907121,0.74798,1.8654108,0.7046,38.6654358,18.4819885
30,2.04457546,0.74484,1.8605955,0.6954,38.7573242,-0.373245341
31,2.04156834,0.74464,1.85589582,0.6885,39.4287224,8.56320645
32,2.04051941,0.74294,1.85176491,0.6877,39.4715157,27.0917859
33,2.03619779,0.7415,1.8440618,0.6877,39.4694214,9.20375206
34,2.03307567,0.73898,1.8419623,0.6844,38.502388,18.888135
35,2.02944035,0.73516,1.83103203,0.6798,38.2226486,-4.18213615
36,2.02699637,0.73378,1.8286818,0.6779,39.1151657,19.7255553
37,2.02510709,0.7341,1.82778341,0.6728,37.8066788,13.461584
38,2.02352343,0.73116,1.82255028,0.6733,37.5112305,14.4861209
39,2.0203772,0.72966,1.81282739,0.6685,36.6877022,24.5152339
40,2.0176043,0.7281,1.81274036,0.6722,36.2443275,5.23894623
41,2.01524363,0.72676,1.80879339,0.6673,36.8224068,4.29325928
42,2.01004677,0.72724,1.80604306,0.6679,36.0347404,16.9558323
43,2.00964115,0.72596,1.80755425,0.6643,37.0058365,3.34691758
44,2.00746098,0.7251,1.80619098,0.6641,36.1455574,15.3186826
45,2.00636628,0.72482,1.79349671,0.6602,35.2721634,1.33723974
46,2.00553245,0.72292,1.79277509,0.6595,35.3376007,8.90117944
47,2.00481903,0.72502,1.79102067,0.6612,35.4224243,11.9230618
48,2.00170512,0.72238,1.79690703,0.6611,34.7298355,17.3951255
49,2.00050036,0.72118,1.78439588,0.6631,34.6031036,8.73807199
50,2.00114273,0.7201,1.78553838,0.6577,34.3408203,14.069684
51,1.99791592,0.72044,1.77920906,0.6581,33.3579369,-5.74100066
52,1.99596902,0.71978,1.77180444,0.6546,33.9603043,1.81623391
53,1.99648788,0.71632,1.77433086,0.6585,33.3672447,11.0284091
54,1.99440991,0.71652,1.77236868,0.6565,32.6049919,9.52500294
55,1.99259884,0.71742,1.76750248,0.65,32.7945709,12.2285016
56,1.9921438,0.71944,1.77065894,0.6563,32.8837891,5.97521171
57,1.99009565,0.715,1.7694,0.6593,32.0491486,7.10831616
58,1.98952874,0.71556,1.7612625,0.6519,31.8822098,3.66766875
59,1.98677889,0.71298,1.76532791,0.6574,32.3253174,12.1064778
60,1.98600928,0.71298,1.76295315,0.6576,32.4244308,8.23797406
61,1.98833306,0.71398,1.75716777,0.6478,31.9940109,15.3094574
62,1.98407597,0.71332,1.75900134,0.6592,31.1436844,22.3050774
63,1.98178423,0.70908,1.75636198,0.6522,31.85219,13.5996267
64,1.98408149,0.71178,1.75581415,0.6547,30.4764099,17.8362273
65,1.98080607,0.71036,1.74624898,0.6479,30.7966118,14.3616133
66,1.97975507,0.70998,1.75334789,0.6526,31.0716705,3.38228999
67,1.98022186,0.70996,1.74540586,0.6474,31.2353058,13.6374611
