Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm
1,1.94413596,0.68374,1.50913248,0.5307,1.29771566
2,1.74961495,0.57904,1.28154709,0.4352,1.26370251
3,1.6606073,0.53138,1.23244725,0.4102,1.23793674
4,1.59650113,0.50294,1.13249461,0.3769,1.21403146
5,1.54731146,0.4759,1.09928545,0.3518,1.19152379
6,1.50378613,0.45258,1.01969516,0.3183,1.17061639
7,1.4682331,0.4382,1.07012329,0.352,1.14791167
8,1.43404479,0.42324,0.97359364,0.3044,1.12693322
9,1.40956804,0.4095,0.890491297,0.2674,1.11211228
10,1.38498619,0.3997,0.907002977,0.269,1.08793449
11,1.36165227,0.39116,0.845233252,0.2474,1.07293379
12,1.34674078,0.3819,0.819934779,0.2408,1.06243122
13,1.32565211,0.37478,0.823425969,0.2372,1.05309653
14,1.31213843,0.36808,0.850281687,0.2388,1.03875411
15,1.29844097,0.36452,0.794085128,0.2268,1.03377867
16,1.28481736,0.3577,0.816150665,0.2342,1.02630067
17,1.26913132,0.35142,0.82395827,0.233,1.02070546
18,1.25715869,0.34674,0.772522658,0.2272,1.01907384
19,1.24883239,0.34184,0.820786205,0.2334,1.00506461
20,1.23437053,0.33846,0.754502751,0.2075,1.00656724
21,1.22364458,0.33582,0.766074252,0.2212,1.00998831
22,1.21719692,0.33238,0.717990956,0.1989,1.00345874
23,1.20496636,0.32558,0.730947255,0.2138,1.00782704
24,1.19598555,0.32382,0.734750432,0.1994,1.0013392
25,1.18693164,0.32054,0.710508493,0.2087,1.00942004
26,1.18074641,0.3197,0.715895948,0.2005,1.01166856
27,1.16952948,0.31536,0.70585694,0.194,1.0196631
28,1.15773931,0.31036,0.692251782,0.1962,1.0223099
29,1.15004355,0.31024,0.719606099,0.1966,1.02824283
30,1.14196604,0.30854,0.706819944,0.201,1.0378927
31,1.13356871,0.30514,0.714377949,0.1976,1.04706085
32,1.12401799,0.30184,0.678398749,0.1927,1.063586
33,1.11510657,0.2993,0.70472946,0.1969,1.07465935
34,1.10700171,0.29594,0.671085557,0.1886,1.09547567
35,1.10360664,0.29538,0.708108519,0.2002,1.1036067
36,1.09116157,0.29316,0.680365194,0.1917,1.12596726
37,1.08436429,0.29082,0.679603243,0.1892,1.14029026
38,1.07071694,0.28874,0.739800258,0.2032,1.16579056
39,1.06789611,0.28736,0.68960393,0.1969,1.18308115
40,1.05946327,0.28484,0.732023843,0.2014,1.20040905
41,1.04601597,0.28144,0.734873112,0.1994,1.22841251
42,1.04135647,0.28094,0.692654512,0.1962,1.25491261
43,1.02836647,0.27772,0.682926261,0.1863,1.28536606
44,1.02273045,0.2772,0.725020696,0.2061,1.31891155
45,1.02179357,0.27666,0.653495003,0.1832,1.32766449
46,1.00815232,0.27368,0.701214913,0.1893,1.36300814
47,0.999044372,0.2733,0.769350367,0.2142,1.40078366
48,0.988077174,0.26888,0.671386788,0.1906,1.44387031
49,0.982760427,0.26818,0.726654474,0.1879,1.46622407
50,0.974056841,0.26642,0.698205754,0.1976,1.5044961
51,0.964683137,0.26408,0.703695398,0.1995,1.55834186
52,0.960396982,0.26402,0.725259891,0.2009,1.59438062
53,0.948273297,0.2609,0.775732956,0.2072,1.64126444
54,0.939970407,0.25888,0.701878715,0.1964,1.68851995
55,0.930135833,0.25768,0.727866963,0.2043,1.74302757
56,0.923282741,0.25598,0.76334871,0.2043,1.78704143
57,0.916393085,0.25574,0.726033709,0.2047,1.84277737
58,0.904795115,0.25174,0.754495116,0.2075,1.8878969
59,0.899639851,0.25186,0.724558117,0.201,1.93920231
60,0.89195925,0.25172,0.750375179,0.2018,1.99505138
61,0.883229192,0.25018,0.737744861,0.2079,2.05452633
62,0.870579393,0.24648,0.742621641,0.2071,2.13161635
63,0.86202059,0.24582,0.769073843,0.215,2.19426847
64,0.856503893,0.24256,0.732812934,0.2033,2.26429772
65,0.842919659,0.2404,0.790040216,0.2209,2.33913445
66,0.837874545,0.23882,0.783654011,0.2182,2.4101367
67,0.828339048,0.2371,0.795807503,0.2296,2.48291731
68,0.825931316,0.23766,0.828619678,0.2291,2.54846883
69,0.812848219,0.2356,0.783286871,0.2166,2.63446116
70,0.808307663,0.23392,0.765591764,0.2161,2.70985746
71,0.79728363,0.2308,0.807483558,0.2288,2.80102968
72,0.788261666,0.2293,0.769219994,0.2172,2.89030552
73,0.782520516,0.22886,0.786776038,0.2209,2.98590326
74,0.766042756,0.22646,0.78722595,0.2244,3.08938169
75,0.767122728,0.2268,0.765762089,0.2161,3.17030358
76,0.756803519,0.22286,0.797486213,0.2208,3.27480936
77,0.749978037,0.22196,0.834338573,0.2321,3.35811853
78,0.734639318,0.22058,0.817716051,0.2288,3.47473741
79,0.730450387,0.2166,0.804754983,0.2281,3.58849478
80,0.720225551,0.217,0.785568614,0.2236,3.70547056
81,0.717648184,0.21574,0.85448987,0.238,3.80398011
82,0.709717268,0.21408,0.848069633,0.2348,3.89585686
