Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm,Exact Path Norm
1,1.92877716,0.67336,1.41186412,0.4933,17.9248486,103.437772
2,1.73039556,0.56844,1.28271872,0.4449,14.2865314,188.38908
3,1.61666645,0.5089,1.17434979,0.3929,12.3994484,132.488653
4,1.54988984,0.47478,1.09783717,0.3612,10.7273846,339.542204
5,1.49534354,0.45168,1.05628448,0.3433,9.83510685,217.536753
6,1.45491777,0.432,0.977034561,0.3159,9.02689171,138.76287
7,1.4168041,0.41634,0.962001993,0.3024,8.27291107,206.522541
8,1.38393444,0.40192,0.873978706,0.2625,7.90012932,348.434202
9,1.35683162,0.38792,0.831442688,0.2491,7.39720631,272.293396
10,1.33104836,0.37688,0.882983763,0.268,7.26807022,221.232515
11,1.31146756,0.36824,0.809560808,0.2385,7.00345707,170.16049
12,1.29520546,0.36102,0.794696721,0.2275,6.68806601,217.529442
13,1.27277435,0.35354,0.727581403,0.2149,6.66118097,223.49242
14,1.25832009,0.34758,0.766518844,0.2251,6.57192898,263.550106
15,1.24481768,0.34086,0.707752931,0.2026,6.33370066,361.651083
16,1.22899642,0.33378,0.745928754,0.2016,6.2667532,239.912688
17,1.21634868,0.33002,0.725061222,0.194,6.25531101,293.958382
18,1.20314264,0.32412,0.739927552,0.2134,6.20427895,314.06804
19,1.19024932,0.32072,0.721852839,0.1973,6.22408581,376.115971
20,1.17852419,0.31886,0.755496714,0.2056,6.15426207,307.350102
21,1.16638027,0.31296,0.709456363,0.2013,6.05396366,344.774507
22,1.15652862,0.31148,0.657343907,0.1824,6.16147709,335.590578
23,1.14808964,0.30832,0.712004331,0.1939,6.35434675,366.413499
24,1.13348506,0.30244,0.683441128,0.1888,6.35779285,328.401285
25,1.12074965,0.29816,0.676143809,0.1811,6.26951313,439.378903
26,1.11107227,0.2964,0.706244166,0.1998,6.4755187,355.073257
27,1.10538535,0.29286,0.690145549,0.1858,6.67736197,376.66065
28,1.09542996,0.29148,0.676930214,0.1824,6.66546345,434.146496
29,1.08366583,0.28844,0.667289757,0.1834,6.78247213,361.529998
30,1.0710027,0.28374,0.702197155,0.182,6.88056421,394.034629
31,1.06385032,0.28316,0.676595269,0.1815,7.09733629,362.882978
32,1.04818593,0.27948,0.663880134,0.1788,7.19646215,384.926486
33,1.03688399,0.27596,0.686851931,0.1869,7.49672699,438.612496
34,1.02840591,0.27438,0.6840531,0.1905,7.77943897,469.427785
35,1.01882182,0.27062,0.697228606,0.1921,7.84033394,424.905676
36,1.00436717,0.26908,0.679834482,0.1798,8.21368599,426.142314
37,0.990600449,0.26448,0.735462814,0.2011,8.62118721,442.951657
38,0.983474858,0.26298,0.687761454,0.1866,8.82835293,554.466831
39,0.970930968,0.2616,0.708208041,0.1956,9.14359188,498.527278
40,0.961891034,0.26044,0.662346338,0.1835,9.59132195,489.314994
41,0.95076731,0.2572,0.714831506,0.1931,9.90691853,626.180757
42,0.941570301,0.25516,0.731184582,0.1978,10.1212177,590.387472
43,0.932245705,0.25276,0.699748843,0.1933,10.6565208,496.765383
44,0.915642051,0.2498,0.681574145,0.1845,11.1912336,568.983893
45,0.906283538,0.2481,0.645186993,0.1808,11.6622496,621.294181
46,0.893330639,0.24528,0.724142472,0.1855,11.8851261,603.024935
47,0.879888432,0.24236,0.687823135,0.1861,12.5889282,680.567914
48,0.871824439,0.24246,0.718695782,0.1969,13.0817928,609.597716
49,0.861925014,0.23862,0.679240504,0.1894,13.7480431,633.021985
50,0.850559142,0.23574,0.706271916,0.1931,14.1783428,688.628541
51,0.8395408,0.23504,0.820265243,0.2251,14.9955482,568.351187
52,0.825531997,0.2313,0.761776442,0.2028,15.8627586,602.839716
53,0.811794122,0.22866,0.792210942,0.2121,16.7018852,772.248843
54,0.800479,0.22878,0.763070257,0.2051,17.4763775,923.181534
55,0.786281168,0.22386,0.713128893,0.1994,18.3117428,835.261062
56,0.776040628,0.22168,0.769589427,0.2098,18.9778957,826.160372
57,0.765628561,0.22102,0.826206086,0.2222,20.2847023,873.503038
58,0.753129902,0.2182,0.838813673,0.228,20.9157372,882.905118
59,0.739901049,0.21492,0.801302679,0.2211,22.6030197,882.772762
60,0.730697906,0.213,0.814052171,0.2248,23.2231083,781.404021
61,0.719911834,0.21104,0.795990783,0.2173,24.6173801,953.225421
62,0.708249922,0.20802,0.816658745,0.2227,25.7550774,922.023428
63,0.696171967,0.2057,0.843383746,0.231,27.0740871,1036.90661
64,0.683198717,0.2033,0.932492374,0.2557,28.382597,1004.64654
65,0.672132575,0.20064,0.875613429,0.2379,29.8138638,921.54603
66,0.65918153,0.19748,0.838919919,0.2275,31.7747612,1038.44122
67,0.651599999,0.1961,0.892171128,0.2397,32.5508385,1037.12372
68,0.638329349,0.19296,0.841454109,0.23,34.5188065,1021.26973
69,0.627497895,0.19162,0.838881142,0.2325,35.8717117,1251.72098
70,0.615499735,0.18672,0.874997876,0.2341,37.5399284,1229.91074
71,0.607919094,0.18468,0.890886819,0.2384,39.3382416,1063.90992
72,0.603767381,0.1831,0.864655085,0.2283,41.5043373,1214.00221
73,0.584995146,0.1822,0.855625074,0.2249,43.1297302,1204.17962
74,0.580974279,0.17974,0.967098114,0.2617,45.1339874,1114.03338
75,0.565178166,0.17578,0.981586614,0.2704,47.8308563,1261.34505
76,0.554354683,0.17402,0.970810193,0.2604,49.4366112,1253.66486
77,0.547172677,0.17314,0.940019915,0.252,52.6644135,1407.3436
78,0.538275495,0.16872,0.980715752,0.2567,54.7534599,1366.39909
79,0.528023777,0.16708,0.950704273,0.2503,56.8334198,1387.89491
80,0.518985798,0.16364,0.930744451,0.239,58.7533989,1423.66539
81,0.508077263,0.16046,0.974397097,0.2543,62.0229034,1443.75123
82,0.499204178,0.1598,1.06677682,0.2769,65.7265091,1259.49145
83,0.489040926,0.15444,0.967299405,0.2499,67.2727356,1511.56804
84,0.475541122,0.15268,1.0215532,0.2671,71.1536713,1593.52563
85,0.485596987,0.15632,1.0029173,0.2544,71.181366,1493.56167
86,0.463739853,0.14822,1.02252372,0.2588,75.2623138,1439.94097
87,0.452431795,0.14534,1.05940772,0.2657,79.1866913,1375.29747
88,0.451895176,0.14614,1.00834787,0.2569,80.7141876,1610.18803
89,0.438756204,0.1422,1.06086354,0.2691,86.0017548,1535.50542
90,0.434734382,0.14398,1.14307973,0.2973,90.6681137,1567.81212
91,0.423844821,0.13732,1.05632461,0.2467,92.4772797,1726.83512
92,0.414971681,0.13572,1.10156441,0.269,97.1483459,1567.06957
93,0.413010918,0.13628,1.06084781,0.2548,100.919891,1705.39593
94,0.40112134,0.13182,1.13898145,0.2739,105.530762,1810.4908
95,0.399536862,0.13052,1.16155096,0.2877,108.417816,1661.04547
96,0.386894027,0.12766,1.20268423,0.2864,113.072098,1663.17516
