Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm
1,1.97388664,0.70138,1.58999324,0.5755,1.33912849
2,1.80113848,0.60598,1.38156918,0.4872,1.31346178
3,1.71601184,0.56148,1.3257541,0.4515,1.2968756
4,1.65819921,0.53448,1.2314792,0.4143,1.28556013
5,1.60702886,0.50858,1.18848204,0.41,1.27543426
6,1.56791062,0.48646,1.11088461,0.3626,1.25484872
7,1.52773489,0.46938,1.09981458,0.355,1.24263275
8,1.5012976,0.45486,1.06204941,0.3417,1.23079133
9,1.47389609,0.44028,1.02353772,0.3222,1.22266984
10,1.44873837,0.42918,0.976801627,0.3098,1.21469069
11,1.43013833,0.42196,0.947305206,0.2924,1.20516717
12,1.40510089,0.40922,0.915218484,0.2857,1.19782102
13,1.38674198,0.40174,0.92842078,0.2877,1.19344342
14,1.37117114,0.3955,0.879169819,0.2705,1.18479753
15,1.35530974,0.38778,0.880274855,0.2676,1.18656075
16,1.33484947,0.37914,0.859726237,0.2527,1.18520069
17,1.32701106,0.37624,0.820087712,0.2452,1.1879518
18,1.31598017,0.3704,0.830758817,0.2533,1.18550587
19,1.30179183,0.3666,0.823078219,0.2483,1.18878067
20,1.28859274,0.36016,0.813867549,0.2279,1.18951201
21,1.27663058,0.3539,0.858649385,0.2442,1.19460464
22,1.26730515,0.35178,0.775411344,0.2264,1.20161569
23,1.25930898,0.34806,0.797916808,0.2238,1.20125723
24,1.25125584,0.3467,0.792859038,0.2207,1.20407629
25,1.23682497,0.33982,0.777051057,0.2136,1.21209955
26,1.2304842,0.33848,0.764414881,0.2185,1.22263956
27,1.22453082,0.33588,0.735339237,0.2139,1.23096895
28,1.21208248,0.33096,0.74339566,0.2126,1.23902512
29,1.20548874,0.32984,0.778036565,0.2173,1.24624372
30,1.19575893,0.3255,0.766250952,0.218,1.2567941
31,1.18601662,0.32008,0.720314705,0.2065,1.27425957
32,1.17861267,0.32048,0.75011301,0.217,1.29106903
33,1.1688199,0.31694,0.725165883,0.2042,1.30016315
34,1.16293294,0.3148,0.700283487,0.1972,1.31938291
