Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm,Exact Path Norm
1,1.99666475,0.71126,1.57205732,0.5648,28.6275311,145.135164
2,1.8355321,0.62716,1.43975165,0.5049,23.9395332,75.398889
3,1.75508209,0.58614,1.32928781,0.4576,22.1293831,100.91924
4,1.69007948,0.5525,1.26958243,0.4358,19.9708862,187.921943
5,1.64285711,0.52708,1.18652334,0.3983,18.3230515,126.844726
6,1.60514026,0.50766,1.20039404,0.3952,17.3256626,221.379661
7,1.57347688,0.49122,1.13205744,0.3759,16.7928181,103.615985
8,1.54661601,0.47514,1.14172684,0.3749,15.7291956,130.684055
9,1.5233482,0.46672,1.03857508,0.3382,15.4404316,154.535159
10,1.49945181,0.45578,1.02491593,0.3232,14.8373508,145.963768
11,1.47695432,0.44502,1.05778621,0.337,14.8048325,136.111964
12,1.45797982,0.43702,1.0034519,0.3124,14.6035748,212.272808
13,1.44010807,0.42726,0.968055928,0.3004,13.9394522,159.680115
14,1.42535902,0.42278,0.949424337,0.2928,13.9320869,205.784579
15,1.41066904,0.41364,0.948675919,0.2823,13.6332254,105.718719
16,1.39572142,0.40794,0.901244485,0.2701,13.3537683,195.703075
17,1.382963,0.40338,0.931654533,0.2851,13.2130966,101.848105
18,1.3668214,0.39456,0.863796251,0.2551,13.5351534,158.112832
19,1.35548684,0.39016,0.878004678,0.2619,13.4018021,207.790355
20,1.34887149,0.38814,0.858319429,0.2505,13.0941257,154.152726
21,1.33419995,0.38086,0.852682171,0.2557,13.0747414,140.328514
22,1.32873163,0.37706,0.807935532,0.2438,12.8087444,186.618352
23,1.31380542,0.37236,0.835769939,0.2397,13.3509445,209.99484
24,1.30385696,0.36766,0.844862399,0.2474,12.8377113,185.711436
25,1.29849769,0.36468,0.819182007,0.2383,12.9684868,170.708428
26,1.2887218,0.36284,0.830433568,0.237,13.1033134,224.628665
27,1.28079319,0.35752,0.807387111,0.2338,13.1087341,243.708511
28,1.27152087,0.3559,0.80101242,0.2321,13.5857029,182.558538
29,1.2659841,0.35402,0.793106363,0.2295,13.4393559,228.113318
30,1.25978704,0.35282,0.795238147,0.2319,13.5486517,182.426131
31,1.25461225,0.35028,0.804210246,0.2213,13.5462074,221.543732
32,1.24425967,0.34504,0.779520512,0.2311,13.6905575,217.770337
33,1.23941043,0.34294,0.809596581,0.235,13.9895258,224.345855
34,1.22992465,0.34008,0.764664881,0.2179,14.0992775,187.02757
35,1.22876927,0.33964,0.750800343,0.214,14.2877026,257.954704
36,1.21669894,0.33642,0.746856332,0.2136,14.274251,199.875133
37,1.21631306,0.33718,0.790949333,0.2207,14.4543495,236.074403
38,1.20424814,0.3326,0.742458328,0.2109,14.6737804,272.064832
39,1.20123132,0.33032,0.745349019,0.2096,15.1129179,278.342299
40,1.19195366,0.32746,0.728838049,0.2132,15.0762691,234.015625
41,1.18697268,0.32464,0.80620905,0.2258,15.2723637,252.815462
42,1.18287704,0.32434,0.777773338,0.2162,15.8284912,287.168329
43,1.17665717,0.32218,0.754637104,0.2106,16.116106,242.861647
44,1.17436751,0.32202,0.718127744,0.2038,16.3329659,233.987095
45,1.16672364,0.31938,0.741660687,0.2053,16.5304623,249.25186
46,1.16311621,0.31754,0.735732043,0.2134,16.8254204,202.98121
