Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm,Exact Path Norm
1,2.0820846,0.75744,1.7346049,0.6235,34.2045898,69.6870535
2,1.92432559,0.67072,1.59916888,0.5703,30.2222233,29.6282039
3,1.86129184,0.64108,1.53287793,0.5446,27.919426,29.9067314
4,1.82380566,0.62056,1.4717692,0.5141,25.9370193,78.7630352
5,1.79150193,0.60556,1.43714348,0.4943,25.1923008,57.520534
6,1.76130899,0.58936,1.37946061,0.4752,24.9584217,59.9813253
7,1.7400956,0.57724,1.37459021,0.4717,23.3390274,27.5126824
8,1.71673061,0.56366,1.33633182,0.4549,23.04175,34.4156415
9,1.70184684,0.55552,1.32745191,0.4522,22.6114712,83.7256185
10,1.68376675,0.54692,1.28540648,0.4353,22.286377,61.8756743
11,1.67117707,0.54074,1.27213933,0.4243,21.8600311,52.9454866
12,1.65052991,0.52974,1.23937607,0.4133,21.2622032,58.9466531
13,1.6380521,0.52504,1.23765452,0.4159,21.5245514,71.3360304
14,1.62794713,0.51892,1.21281296,0.3957,21.245491,72.2401125
15,1.61840782,0.51294,1.18617393,0.3841,20.4774361,22.7997502
16,1.60018877,0.50594,1.17994679,0.3879,20.6144524,118.910098
17,1.58891783,0.50164,1.17202403,0.3918,20.0309296,79.2948352
18,1.58267443,0.49588,1.15726614,0.3806,20.1266594,83.7263186
19,1.56870567,0.48948,1.13426241,0.3742,20.2429581,66.2784894
20,1.56134325,0.48362,1.15240964,0.374,20.2733364,41.0192432
21,1.55119542,0.48432,1.13156625,0.3729,20.1797066,54.7901531
22,1.54484833,0.47776,1.09535777,0.3571,19.5437832,16.664904
23,1.53847249,0.47564,1.08819157,0.3498,19.2578621,23.3694112
24,1.52578532,0.47012,1.08268435,0.3515,19.3925095,36.8764788
25,1.52103767,0.46698,1.08380014,0.3393,19.4905033,64.1854448
26,1.5116503,0.46242,1.070473,0.3406,19.7836914,85.2882881
27,1.50308464,0.45834,1.05991629,0.3356,19.7463951,41.9234993
28,1.49773241,0.45704,1.05356588,0.3301,19.3255291,85.5047783
29,1.49042198,0.45338,1.02677506,0.3269,19.6678696,102.26323
30,1.48362684,0.4493,1.02315309,0.3228,19.6867867,41.2466765
31,1.47832856,0.44752,1.01993009,0.3185,19.7668839,81.4300766
32,1.47105399,0.44272,1.03358123,0.3219,19.7777481,97.3617409
33,1.46541404,0.44168,1.01984086,0.314,19.8693085,67.5669684
34,1.46103169,0.4398,1.00340339,0.3127,19.6945267,110.470242
35,1.45337529,0.43584,1.00499035,0.3104,19.5440331,79.8637647
36,1.44948964,0.43408,1.0015016,0.3079,20.1920528,99.2583301
37,1.44250993,0.42978,0.98972883,0.3051,19.9443302,67.4843757
38,1.43987893,0.42848,0.973663596,0.2977,20.0161343,78.4495085
39,1.43523383,0.42796,0.973977557,0.2969,19.7658596,113.367044
40,1.427031,0.42258,0.967085828,0.3037,19.938015,23.2755152
41,1.42022183,0.42234,0.94570589,0.2958,20.2018509,102.36392
42,1.41804348,0.41856,0.969045983,0.3001,20.5247822,117.921899
43,1.41332871,0.41778,0.96223891,0.2983,20.5779877,121.828662
44,1.40789096,0.41554,0.962835065,0.2909,20.6316681,105.391168
45,1.40427356,0.41412,0.944694573,0.2886,20.8576851,73.9110848
46,1.40050646,0.41248,0.963982654,0.2877,20.7134037,96.9233443
47,1.39672833,0.41156,0.919513178,0.2795,21.0218868,129.016763
48,1.39348714,0.40914,0.937457626,0.2828,21.1449089,141.059603
49,1.38753606,0.40756,0.932954828,0.2802,21.1045151,81.0885311
50,1.38420975,0.4039,0.929512866,0.2823,21.6075478,118.710774
51,1.37908164,0.40372,0.923703447,0.2736,21.683279,112.213289
52,1.37329627,0.39882,0.919251126,0.2744,21.6609058,142.638788
53,1.36846187,0.39966,0.916841465,0.2784,22.0584145,66.4295137
54,1.3682016,0.3995,0.930835375,0.2762,21.808918,110.394431
55,1.361695,0.39596,0.899851562,0.2667,22.3913269,102.691531
56,1.35905162,0.39422,0.90759909,0.2742,22.4784966,119.590885
57,1.35617785,0.39288,0.89695598,0.2651,23.0063858,84.277736
58,1.35144176,0.39322,0.891752313,0.27,22.8137569,122.493228
59,1.34985327,0.38914,0.86275715,0.2646,22.826786,97.2098643
60,1.34573398,0.38994,0.883618431,0.2632,22.5220547,80.2465237
61,1.33974598,0.3866,0.870736863,0.2631,23.0776691,105.705903
62,1.33960815,0.38418,0.865591112,0.2589,23.9286919,62.7886441
63,1.33738799,0.38582,0.879348926,0.2593,24.1670914,177.043005
64,1.3337563,0.3834,0.868358938,0.2568,24.0781174,90.882567
65,1.32981538,0.38182,0.866295848,0.2591,24.3020935,100.934484
66,1.3297096,0.38146,0.875293743,0.2537,24.4972744,65.1012501
67,1.32456762,0.37858,0.873376072,0.2544,24.9512348,84.8727845
68,1.32053002,0.37914,0.871416658,0.2557,24.91395,111.708943
69,1.31659378,0.37692,0.868007366,0.2549,25.3061371,175.052157
70,1.31571072,0.3773,0.862844606,0.2554,25.2971992,103.955878
71,1.31124663,0.37568,0.855891324,0.2479,25.6291809,136.196268
72,1.30866184,0.37256,0.8645266,0.2501,25.7001953,119.53754
73,1.30883246,0.37434,0.861480703,0.2492,25.8208351,102.154498
74,1.30247732,0.37,0.845721498,0.253,26.6667404,115.123302
75,1.30158666,0.37158,0.853115102,0.252,27.2535572,142.706452
76,1.29464684,0.36716,0.845410092,0.2484,27.8026276,134.705425
77,1.3003747,0.3696,0.877221871,0.2594,27.630724,150.724948
78,1.29862534,0.3686,0.842520279,0.247,27.5693932,172.569689
79,1.29125064,0.36772,0.849120418,0.2514,27.5099735,173.233337
80,1.28676778,0.36538,0.834969347,0.2455,27.9743748,111.664376
81,1.2856188,0.36476,0.824995572,0.2442,28.0684605,93.0043604
82,1.28425822,0.36572,0.823814736,0.2413,28.6887093,157.21352
83,1.28211374,0.36378,0.856245111,0.2508,28.5254269,185.843906
84,1.27768796,0.36244,0.826803678,0.2381,29.4461231,133.308105
85,1.27711402,0.36038,0.826089262,0.2387,29.586338,129.488861
86,1.27637843,0.36266,0.829386463,0.2389,30.1010647,106.303737
87,1.27296954,0.3619,0.835220176,0.2449,30.5706215,137.609155
88,1.27127836,0.36174,0.835531957,0.2392,29.9715233,191.756449
89,1.26407029,0.35662,0.825915219,0.2456,31.1291809,157.664226
90,1.26576087,0.35694,0.801033974,0.2413,31.1531773,142.534999
91,1.26404769,0.35786,0.838685263,0.2507,31.9037647,175.125611
92,1.26138116,0.35636,0.816810328,0.2417,32.4564209,201.995775
93,1.26033655,0.35566,0.835992053,0.2412,32.4430618,125.749659
94,1.25983796,0.35534,0.819748533,0.2422,32.9122505,105.91931
95,1.25667449,0.35512,0.821239085,0.2346,33.5733719,111.230615
96,1.25869995,0.35506,0.81901787,0.2396,33.4507141,159.301038
97,1.24973143,0.3525,0.827984341,0.2452,34.2021828,168.280457
98,1.24681678,0.34954,0.819759936,0.2432,34.8615837,236.12946
99,1.24649283,0.3503,0.818387754,0.2416,35.06147,193.510209
100,1.24617972,0.35164,0.817287533,0.2408,35.5944862,238.384633
101,1.24465674,0.35138,0.801629435,0.2359,36.1974907,155.862252
102,1.24351396,0.34992,0.813181278,0.2428,36.063118,128.963192
103,1.24614741,0.35116,0.815200312,0.238,36.7698517,201.649746
104,1.2385461,0.3489,0.805632592,0.2361,36.8974571,155.503916
105,1.2396088,0.3495,0.810202944,0.2374,37.0012398,175.5119
106,1.23781132,0.34812,0.815892926,0.2402,38.481781,180.035814
107,1.23143087,0.34688,0.821832133,0.2408,38.9888992,174.870436
108,1.23766875,0.34814,0.801232203,0.2363,39.4665031,137.693608
109,1.23086821,0.346,0.810962675,0.2296,39.321743,197.480939
110,1.22337563,0.34424,0.804175216,0.2415,40.4253693,144.118716
111,1.22365556,0.34212,0.816530721,0.2371,40.9734612,199.764045
112,1.22822161,0.34538,0.808304847,0.2329,40.7418098,159.879469
113,1.2231908,0.34322,0.783397702,0.2299,41.0435486,182.397834
114,1.22027498,0.34378,0.800296007,0.2331,42.5017014,170.301062
115,1.22221282,0.34422,0.812313262,0.2417,42.5849228,177.830042
116,1.21651967,0.342,0.792583124,0.233,42.9229507,173.423354
117,1.21677602,0.34252,0.793416651,0.2341,43.5698776,220.79228
118,1.21491606,0.3402,0.799468677,0.2313,43.6712036,179.191616
119,1.21311861,0.34192,0.795777225,0.2253,44.1403656,212.220181
120,1.21262386,0.34152,0.786528667,0.2275,44.9550247,158.175398
121,1.20812419,0.34086,0.795347063,0.232,45.4861183,184.408972
122,1.21072824,0.34122,0.802263882,0.2346,45.927494,192.188721
123,1.20790582,0.33866,0.787708839,0.2299,46.1531296,139.615687
124,1.20581373,0.33706,0.814700817,0.2377,46.6410751,165.579075
125,1.20172016,0.33646,0.788467836,0.2359,47.3406067,205.399815
126,1.20372517,0.3388,0.809507569,0.2313,48.2728882,179.110383
127,1.19809074,0.33694,0.802230447,0.2303,49.1017838,140.228901
128,1.19912264,0.33526,0.795664484,0.2277,50.5024185,252.467449
129,1.19942876,0.33648,0.788595079,0.2321,51.074688,193.589392
130,1.19490083,0.33572,0.805681443,0.2277,50.6886215,139.575484
131,1.19390837,0.33334,0.806123116,0.2313,51.2040482,206.73738
132,1.19356199,0.33576,0.792507842,0.2259,52.6744766,232.908309
133,1.19163487,0.33472,0.797221743,0.2282,54.3494606,178.865357
