Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm,Exact Path Norm
1,2.26406554,0.86008,2.11814863,0.7893,45.6647568,-0.12528071
2,2.14742755,0.79786,1.97448539,0.7287,48.6001968,8.2054824
3,2.1007193,0.77242,1.92461927,0.7088,51.4611473,46.4520099
4,2.07658792,0.7601,1.88522207,0.6908,49.1834106,16.6512092
5,2.05103889,0.7458,1.84364965,0.6706,46.4887238,23.2993016
6,2.02832899,0.73212,1.80695833,0.6622,43.3712006,11.3394171
7,2.00618842,0.72226,1.7709183,0.653,41.6959457,25.7127885
8,1.99111315,0.71522,1.74845586,0.6387,39.9490356,-3.41343843
9,1.97632483,0.70702,1.73009136,0.6359,41.6322403,11.9990523
10,1.96939432,0.70164,1.7116297,0.6266,41.5883255,16.9528565
11,1.96060525,0.69496,1.69643175,0.6169,43.0099869,21.0231735
12,1.95116973,0.69296,1.68386248,0.6106,43.0198975,3.98460606
13,1.94207039,0.68698,1.67319181,0.606,41.7092018,26.5979497
14,1.93789958,0.68636,1.66059604,0.6009,42.0047379,8.97479059
15,1.93180158,0.68182,1.66249511,0.5961,42.1710281,13.2137813
16,1.92671228,0.67854,1.64689317,0.5916,41.86689,9.87538045
17,1.91892209,0.67568,1.63968103,0.5878,41.9771881,-11.4011584
18,1.91596971,0.67484,1.63167747,0.582,42.8640366,-0.306572208
19,1.91087153,0.66936,1.63022165,0.5835,43.3623047,33.8731904
20,1.90631259,0.66722,1.61650881,0.5824,41.5835152,4.60308855
21,1.9037168,0.66716,1.61017492,0.5791,41.9680481,24.3841039
22,1.89773032,0.66374,1.60363831,0.574,41.2865753,29.2540014
23,1.89719807,0.66324,1.60494585,0.5735,42.3625069,-8.65139952
24,1.89356536,0.6591,1.59901264,0.5668,43.3731232,29.441883
25,1.88742661,0.65474,1.58384065,0.5644,42.9702606,-16.5908964
26,1.88545596,0.65612,1.58527609,0.5624,42.7424011,4.42659599
27,1.8806448,0.65512,1.56756932,0.5606,43.275589,30.5054136
28,1.87816651,0.651,1.57070206,0.5557,41.7489014,25.4267461
29,1.87488609,0.64832,1.56214096,0.5535,42.5678253,37.4497467
30,1.86955495,0.64638,1.55829177,0.5469,43.9903412,22.3564596
31,1.86890334,0.64812,1.55601385,0.5466,44.4875298,16.3234328
32,1.86558481,0.64194,1.55139408,0.5457,42.2303467,-11.8538901
33,1.86686305,0.64238,1.54734837,0.5416,43.533165,10.6261757
34,1.86002577,0.6397,1.54070635,0.5395,43.1277466,24.5435425
35,1.85712744,0.63806,1.5401003,0.5408,42.4276962,24.4664361
36,1.85665919,0.63996,1.5410637,0.5376,42.6884766,3.12434599
37,1.84984406,0.63458,1.52897784,0.54,42.6165161,24.9294949
38,1.85025287,0.63484,1.52854387,0.5361,44.1087761,21.1764462
39,1.84471692,0.6333,1.52201569,0.5304,45.1962891,66.3367121
40,1.84284644,0.63062,1.51722868,0.531,44.1708679,31.8977677
41,1.83737479,0.62922,1.5117791,0.5264,43.9356766,31.9540861
42,1.83828013,0.6279,1.5020499,0.5246,43.5855942,17.4592801
43,1.83368617,0.62894,1.50161303,0.5267,42.8473587,33.1551047
44,1.83096111,0.62258,1.50555108,0.5254,45.3046646,37.9432646
